Encuesta Anual de Estructura Salarial
Resultados Nacionales: Ganancia media anual por trabajador
Sexo y Edad
Unidades: euros

,Ambos sexos,Mujeres,Hombres,
Todas las edades,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
Menos de 20 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 20 a 24 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 25 a 29 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 30 a 34 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 35 a 39 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 40 a 44 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 45 a 49 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 50 a 54 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 55 a 59 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
De 60 a 64 años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
65 y más años,
    2016,"","","",
    2015,"","","",
    2014,"","","",
    2013,"","","",
    2012,"","","",
    2011,"","","",
    2010,"","","",
    2009,"","","",
    2008,"","","",
Notas:
1) '.'=No se facilita el dato correspondiente por ser el número de observaciones muestrales inferior a 100
Cuando la casilla está marcada con un signo '-' antes del dato, indica que el número de observaciones  muestrales está comprendido entre 100 y 500, por lo que la cifra está sujeta a gran variabilidad.
Fuente: Instituto Nacional de Estadística
